,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable
3197,23957804.0,1.0,0.97,8.0,11.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125,29,49,354,11.0,0.0,0.0,4.8,4.9,4.91,4.55,4.64,4.91,4.8,0.14,25/09/2024,Suite in Reforma. Hotel amenities. Pool/Gym. K5,"Best option for short or long term stays in Mexico City, our suites are located on Mexico Cityâs magnificent Paseo de la Reforma.<br /><br />Just between the Angel of Indepedence and the Fuente de la Diana, it is close to all the finest venues.<br /><br />Steps away from the magnificent Chapultepec Castle and the Museum of Anthropology, everything of importance is within reach from our suites.<br /><br />Visit the pyramids at Teotihuacan, the fabled Zocalo or take a stroll down Polanco.<br /><br />Enjoy your stay in Mexico City!","Colonia Juarez, the triangle shaped neighborhood on the southwest border of central Mexico City, is fast becoming a haven for locavores. The area offers hip eateries like the Havre 77 oyster bar, and Milan 44âan urban market where you can grab top-tier coffee and a haircut under the same roof. The area boasts ample shopping opportunities, from the upscale shops of Plaza la Rosa to the antiques and vintage wares of Plaza del Angel. Every Sunday, the Jardin del Arte is where you can pick up paintings, drawing, and crafts made by Mexico Cityâs talented local artists.",https://a0.muscache.com/pictures/16c2f727-ec89-4634-bcf6-d52443825a4b.jpg,Charlic,31/10/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 shared bath,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Hot tub"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,25/09/2024,27/08/2023,SIN INFORMACION,f
3199,23958426.0,1.0,1.0,2.0,7.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125,28,49,354,14.0,0.0,0.0,4.93,4.71,5.0,4.86,5.0,5.0,4.64,0.18,26/09/2024,Best flat in Reforma. Suite. Jacuzzi and gym. K12,"Offering a terrace and views of the city, our suites are situated in Mexico City, 200 m from The Angel of Independence. The accommodation features a spa bath and Free WiFi.","Colonia Juarez, the triangle shaped neighborhood on the southwest border of central Mexico City, is fast becoming a haven for locavores. The area offers hip eateries like the Havre 77 oyster bar, and Milan 44âan urban market where you can grab top-tier coffee and a haircut under the same roof. The area boasts ample shopping opportunities, from the upscale shops of Plaza la Rosa to the antiques and vintage wares of Plaza del Angel. Every Sunday, the Jardin del Arte is where you can pick up paintings, drawing, and crafts made by Mexico Cityâs talented local artists.",https://a0.muscache.com/pictures/b8d2714e-e3e2-4e49-8ec8-f9e41734653f.jpg,Charlic Isaac,23/07/2022,SIN INFORMACIO,within an hour,SIN INFORMACION,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Hot tub"", ""Kitchen"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Single level home"", ""Hair dryer""]",SIN INFORMACION,t,26/09/2024,27/08/2023,SIN INFORMACION,f
3200,23958598.0,1.0,0.99,19.0,25.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125,28,49,354,14.0,0.0,0.0,4.8,4.9,4.57,4.9,4.9,4.64,4.43,0.18,26/09/2024,Full Suite. *Hotel Amenities* WALK EVERYWHERE -K13,"Offering a terrace and views of the city, our suites are situated in Mexico City, 200 m from The Angel of Independence. The accommodation features a spa bath and Free WiFi.","Colonia Juarez, the triangle shaped neighborhood on the southwest border of central Mexico City, is fast becoming a haven for locavores. The area offers hip eateries like the Havre 77 oyster bar, and Milan 44âan urban market where you can grab top-tier coffee and a haircut under the same roof. The area boasts ample shopping opportunities, from the upscale shops of Plaza la Rosa to the antiques and vintage wares of Plaza del Angel. Every Sunday, the Jardin del Arte is where you can pick up paintings, drawing, and crafts made by Mexico Cityâs talented local artists.",https://a0.muscache.com/pictures/aa024632-9f9b-4ab0-afb3-02b33cb56526.jpg,Charligisaac,19/12/2022,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 bath,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Paid parking off premises"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,27/08/2023,SIN INFORMACION,t
3201,23959123.0,1.0,0.97,8.0,11.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125,28,49,354,17.0,0.0,0.0,4.59,4.9,4.65,4.65,4.94,4.88,4.41,0.21,26/09/2024,"Great Suite w/hotel Amenities, jacuzzi and gym K15","Offering a terrace and views of the city, our suites are situated in Mexico City, 200 m from The Angel of Independence. The accommodation features a spa bath and Free WiFi.","Colonia Juarez, the triangle shaped neighborhood on the southwest border of central Mexico City, is fast becoming a haven for locavores. The area offers hip eateries like the Havre 77 oyster bar, and Milan 44âan urban market where you can grab top-tier coffee and a haircut under the same roof. The area boasts ample shopping opportunities, from the upscale shops of Plaza la Rosa to the antiques and vintage wares of Plaza del Angel. Every Sunday, the Jardin del Arte is where you can pick up paintings, drawing, and crafts made by Mexico Cityâs talented local artists.",https://a0.muscache.com/pictures/90520a5d-1703-4536-84c1-9f7b0485dbb1.jpg,Charlic,31/10/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 bath,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Self check-in"", ""Gym"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,27/08/2023,SIN INFORMACION,f
3862,27426950.0,1.0,1.0,5.0,5.0,2.0,0.0,1.0,0.0,1511.6,1.0,1125,25,47,148,65.0,9.0,1.0,4.92,4.88,4.82,4.94,4.94,4.89,4.72,0.88,26/09/2024,HabitaciÃ³n para 2 personas en depto compartido.,"The apartment is close to one side of the AutÃ³dromo Hermanos Rodriguez, GNP Seguros Stadium, Harp Helu Stadium and the Palacio de los Deportes, it is located 3 streets from the Puebla metro. It is a great location to attend concerts and sporting events in CDMX.","It's very close to Mexico City International Airport, shopping malls within minutes, and all sorts of transportation. The Old Town is also very close.<br />A few meters away is the Brothers Rodriguez Racetrack and the Sports Palace.",https://a0.muscache.com/pictures/miso/Hosting-27426950/original/43c3865b-957d-459c-b7b1-d89f438bdee2.jpeg,Yovanni,23/02/2018,"Mi nombre es Yovanni, y serÃ¡ un placer tenerte como huÃ©sped!",within an hour,t,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 shared bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Freezer"", ""Pantene shampoo"", ""Laundromat nearby"", ""Host greets you"", ""Refrigerator"", ""Mosquito net"", ""Ethernet connection"", ""Dishes and silverware"", ""Indoor fireplace: electric"", ""Blender"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Shower gel"", ""Dove Body Wash body soap"", ""Outdoor playground"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""32 inch HDTV with standard cable"", ""Coffee"", ""Bed linens"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Other gas stove"", ""Oven"", ""Rice maker"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Outlet covers"", ""Cleaning products"", ""Room-darkening shades"", ""Wine glasses"", ""Pantene conditioner"", ""Free street parking"", ""Fast wifi \u2013 115 Mbps"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,23/09/2024,SIN INFORMACION,f
3866,27778699.0,1.0,1.0,14.0,15.0,6.0,0.0,1.0,0.0,1511.6,1.0,1125,30,60,365,4.0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.8,0.06,26/09/2024,Suite familiar para vacaciones en Portal San Ãngel,"One of our double-level family suites features an exclusive suite terrace. <br />With a clean, Mexican concept and nationalist architecture, complete privacy with a cozy atmosphere that guarantees the rest and tranquility of your family or group on their visit.","We are located in the south of Mexico City with excellent communication routes and surrounded by shopping centers, restaurants and government facilities (INFONAVIT, FOVISSTE AND SEGURO POPULAR), our location makes this place a great opportunity for business or leisure travelers, being located behind the metro ravine of the dead and in the Guadalupe inn colony, one of the most beautiful and peaceful areas of the city, just 5 minutes from San Angel, 15 minutes from CoyoacÃ¡n, 25 minutes from the Countess and 40 minutes from the airport.<br /><br />Our space is distinguished by not being a traditional hotel where you can feel privacy, freedom and a warm and safe atmosphere.",https://a0.muscache.com/pictures/b1c56a4a-b4fc-4f55-960f-4f313999e62e.jpg,AdriÃ¡n,10/01/2017,"Bienvenido a Suites Portal San Ãngel,

Desde que llegas a nuestra casa sentirÃ¡s que no estÃ¡s en la ciudad de MÃ©xico, una casa de estilo mexicano llena de color y detalles que te transportaran a otro lugar, contamos con diferentes tipos de habitaciones con capacidad para  2, 4 y hasta 6 personas.

Todas nuestras suites tienen entrada independiente, baÃ±o privado, ademÃ¡s de contar con Ã¡reas comunes con servicio de barra de cafÃ© gratuito.

Somos la opciÃ³n perfecta para los viajeros que NO BUSCAN UN HOTEL, y que quieren disfrutar de un hospedaje diferente, cÃ¡lido y humano.

Suites Portal San Ãngel esta ubicada al sur de la ciudad  de MÃ©xico con excelentes vÃ­as de comunicaciÃ³n y rodeada de centros comerciales, restaurantes y dependencias gubernamentales (INFONAVIT, FOVISSTE Y INSABI), su ubicaciÃ³n hace de esta casa una gran oportunidad para los viajeros de negocios o placer, al encontrarse ubicada a espaldas del metro barranca del muerto y en la colonia Guadalupe Inn , una de las zonas mÃ¡s bonitas y tranquilas de la ciudad, a tan solo 5 minutos de san Ã¡ngel, 15 minutos de CoyoacÃ¡n, 25 minutos de la condesa y 40 minutos del aeropuerto.

Nuestra casa se distingue en no ser un hotel tradicional donde podrÃ¡s sentir privacidad, un ambiente cÃ¡lido y seguro-",within a few hours,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in boutique hotel,Hotel room,SIN INFORMACION,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Kitchen"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Cooking basics"", ""Lockbox"", ""Hangers""]",SIN INFORMACION,t,26/09/2024,05/11/2021,SIN INFORMACION,t
4223,29574790.0,1.0,1.0,6.2,7.3,2.0,1.0,1.0,1.0,1739.0,2.0,730,8,17,105,27.0,42.0,3.0,4.93,4.94,4.93,4.79,4.89,5.0,4.9,2.86,26/09/2024,Casa MÃ©xico 4,"Casa MÃ©xico is located in a strategic and wonderful area as it is located in the heart of the counted colony in front of Parque MÃ©xico. This area is known for its beautiful tree-lined streets, large restaurants, cafes, shops of all kinds and galleries. The neighborhood is central since it is easy to get to several interesting areas such as La Roma, Polanco and EscandÃ³n. This area is also known for its family and bohemian atmosphere experienced every day on the streets.","The neighbourhood is full of galleries, shops, restaurants, parks and more. This is a great neighborhood to experience the best of Mexico city!",https://a0.muscache.com/pictures/airflow/Hosting-29574790/original/91f46cf0-fe6e-4ecc-be8b-c5b14d4321ac.jpg,Alejandra,18/06/2015,"Me gusta el servicio a clientes,
Me encanta la
Cocina, vivo en la
Condesa con mi familia.
",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Cleaning available during stay"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Self check-in"", ""AC - split type ductless system"", ""Hangers"", ""Mini fridge"", ""Body soap"", ""Carbon monoxide alarm"", ""Wifi \u2013 42 Mbps"", ""Breakfast"", ""Long term stays allowed"", ""Keypad"", ""Free dryer \u2013 In building"", ""Essentials"", ""Shampoo"", ""Hot water"", ""HDTV"", ""Crib - available upon request"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""Coffee"", ""Patio or balcony"", ""Paid parking off premises"", ""Smoke alarm"", ""Cleaning products"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Dedicated workspace"", ""Smoking allowed"", ""Hair dryer""]",SIN INFORMACION,t,26/09/2024,22/09/2024,SIN INFORMACION,f
4520,31054539.0,1.0,1.0,5.0,7.0,2.0,1.0,1.0,1.0,293.0,3.0,1125,0,10,263,27.0,24.0,2.0,4.79,4.91,4.89,4.94,4.88,4.91,4.83,2.63,26/09/2024,HabitaciÃ³n en la HipÃ³dromo Condesa,"We focus on providing you with a great hosting experience during your stay in your room with a private bathroom. You can forget to pay for water, electricity, gas, toilet paper, laundry of linens and towels. We offer plumbing, locksmith, carpentry, and paint services at no extra cost. We receive errands and packages with direct delivery to your room. We are located in a magical neighborhood, in the HipÃ³dromo Condesa colony, this area has been the home of remarkable personalities. We look forward to seeing you!","We are located in Mexico City in a magical neighborhood, the Colonia HipÃ³dromo Condesa, which has been home to notable personalities. Musicians such as AgustÃ­n Lara; actors such as Cantinflas, writers and popular characters who have now made it well known for the large number of cafes, bookstores, restaurants, galleries and boutiques, as well as for its cultural and nightlife. The colony attracts people from various points in the city (domestic and foreign tourists) who seek the atmosphere and life of the place.",https://a0.muscache.com/pictures/miso/Hosting-31054539/original/04779952-2c59-4186-8e60-faaa7768ea88.jpeg,Joaquin,18/06/2016,"En AmuebladosTehuantepec, nos enfocamos en brindarte una gran experiencia de hospedaje. Estamos ubicados en la Ciudad de MÃ©xico en un barrio mÃ¡gico, La HipÃ³dromo Condesa, Ã©sta ha sido hogar de notables personalidades. mÃºsicos como AgustÃ­n Lara; actores de la talla de Cantinflas, escritores y personajes populares que ahora la han hecho muy conocida por la gran cantidad de cafÃ©s, librerÃ­as, restaurantes, galerÃ­as y boutiques, asÃ­ como por su vida cultural y nocturna. La colonia atrae a personas de varios puntos de la ciudad (turistas nacionales y extranjeros) que buscan el ambiente y vida del lugar.
Durante tu estancia, ya no tienes que preocuparte por pagar nada adicional, el precio de hospedaje incluye: Agua, Luz, Gas, Lavado de Ropa de Cama y Toallas, Papel HigiÃ©nico, JabÃ³n y tambiÃ©n si ocurre alguna falla en el departamento, tienes incluido sin costo adicional los servicios de plomerÃ­a, cerrajerÃ­a, carpinterÃ­a y pintura. Para hacerte mÃ¡s Ã¡gil tus compras en lÃ­nea, tambiÃ©n podemos recibir lo que tÃº indiques, encargos o paquetes y entregÃ¡rtelos directamente en tu habitaciÃ³n.",within an hour,t,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Room in serviced apartment,Hotel room,1 private bath,"[""Extra pillows and blankets"", ""Iron"", ""Backyard"", ""Wifi"", ""Elevator"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Host greets you"", ""Bed linens"", ""Long term stays allowed"", ""Essentials"", ""Hot water"", ""Dedicated workspace"", ""Hangers""]",SIN INFORMACION,t,26/09/2024,24/09/2024,SIN INFORMACION,f
4612,31307371.0,1.0,1.0,12.0,13.0,6.0,0.0,1.0,0.0,1511.6,1.0,30,25,55,356,6.0,1.0,0.0,4.8,4.9,4.5,4.9,4.9,4.9,4.8,0.09,26/09/2024,Vallarta,"The VALLARTA Room is designed for a MINIMUM of 3 PEOPLE and a MAXIMUM of 6 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to take care of you in the best possible way.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31307371/original/9ef7efde-b031-496e-a129-a963c7267111.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Long term stays allowed"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Building staff"", ""Dedicated workspace"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers"", ""Mini fridge""]",SIN INFORMACION,t,26/09/2024,04/02/2024,SIN INFORMACION,t
4614,31307837.0,1.0,1.0,12.0,13.0,4.0,0.0,1.0,0.0,1511.6,1.0,30,29,59,360,2.0,0.0,0.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.06,26/09/2024,Cancun,"The CANCUN Room is designed for a MINIMUM of 2 PEOPLE and a MAXIMUM of 4 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to serve you in the best possible way.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31307837/original/2b0a30b1-ea3e-4b90-923b-dcacde8afee0.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Luggage dropoff allowed"", ""Wifi"", ""Fire extinguisher"", ""Smoking allowed"", ""Long term stays allowed"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""TV with Netflix"", ""Smoke alarm"", ""Hangers"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,03/04/2023,SIN INFORMACION,t
4618,31315704.0,1.0,1.0,12.0,13.0,3.0,0.0,1.0,0.0,1511.6,1.0,30,28,55,331,1.0,0.0,0.0,4.8,5.0,5.0,5.0,5.0,5.0,4.8,0.02,26/09/2024,Tulum,"The TULUM Room is designed for a MINIMUM of 1 PERSON and a MAXIMUM of 3 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to assist you in the best possible way.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31315704/original/426e1767-dcf2-4362-b758-48a8b66d1103.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Luggage dropoff allowed"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed"", ""Self check-in"", ""TV with DVD player"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,02/11/2019,SIN INFORMACION,t
4619,31315705.0,1.0,1.0,12.0,13.0,2.0,0.0,1.0,0.0,1511.6,1.0,30,0,0,0,2.0,0.0,0.0,4.8,4.9,5.0,4.9,4.9,4.9,4.5,0.03,26/09/2024,CHACAHUA,"The HOLBOX Room is designed for a MINIMUM of 2 PEOPLE and a MAXIMUM of 4 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to assist you in the best way possible.<br /><br />We have pet friendly rooms (Pets have an additional cost of 200 pesos per night).",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31315705/original/c3552f6d-3139-4f42-a044-c94573fbc615.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Outdoor furniture"", ""Children\u2019s books and toys"", ""Self check-in"", ""Hangers"", ""Hammock"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV"", ""BBQ grill"", ""Outdoor dining area"", ""Fast wifi \u2013 52 Mbps"", ""Smoke alarm"", ""Fire extinguisher"", ""Paid washer"", ""Dedicated workspace"", ""Smoking allowed"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,03/11/2019,SIN INFORMACION,t
4620,31315726.0,1.0,1.0,12.0,13.0,4.0,0.0,1.0,0.0,1511.6,1.0,30,26,53,354,4.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.13,26/09/2024,Holbox,"The HOLBOX Room is designed for a MINIMUM of 2 PEOPLE and a MAXIMUM of 4 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to assist you in the best possible way.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31315726/original/c5abc013-e38f-4901-9ae5-ffb035e098d7.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Long term stays allowed"", ""Refrigerator"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,15/10/2023,SIN INFORMACION,t
4621,31315727.0,1.0,1.0,12.0,13.0,2.0,0.0,1.0,0.0,1511.6,1.0,30,18,38,335,23.0,8.0,0.0,4.7,4.83,4.43,4.96,4.78,4.87,4.57,0.34,26/09/2024,Palenque,"The PALENQUE Room is designed for a MINIMUM of 1 PERSON and a MAXIMUM of 2 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to assist you in the best way possible.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31315727/original/a78f5580-1f6e-4c7b-a289-00ba53fe4554.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 shared bath,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV"", ""Coffee"", ""Patio or balcony"", ""Outdoor dining area"", ""EV charger"", ""Smoke alarm"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Smoking allowed"", ""Building staff""]",SIN INFORMACION,t,26/09/2024,18/08/2024,SIN INFORMACION,t
4628,31311837.0,1.0,1.0,12.0,13.0,5.0,0.0,1.0,0.0,1511.6,1.0,30,29,47,323,9.0,1.0,0.0,4.8,4.9,4.44,4.9,4.9,4.9,4.44,0.13,26/09/2024,Acapulco,"The ACAPULCO Room is designed for a MINIMUM of 3 PEOPLE and a MAXIMUM of 5 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to assist you in the best way possible.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31311837/original/7f41537e-3c63-46dd-b7ad-806aaa3e7710.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Mosquito net"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Paid washer \u2013 In unit"", ""Paid parking lot on premises \u2013 4 spaces"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Patio or balcony"", ""Board games"", ""32 inch TV with Netflix"", ""Outdoor dining area"", ""Smoke alarm"", ""Cleaning products"", ""Fire extinguisher"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,07/11/2023,SIN INFORMACION,t
4629,31312409.0,1.0,1.0,12.0,13.0,6.0,0.0,1.0,0.0,1511.6,1.0,30,26,52,353,7.0,1.0,0.0,4.8,4.9,4.57,4.9,4.9,4.9,4.8,0.1,26/09/2024,Hab. TAJIN,"The TAJIN Room is designed for a MINIMUM of 3 PEOPLE and a MAXIMUM of 6 PEOPLE, our facilities are designed to make you feel at home, we have a qualified staff to take care of you in the best possible way.",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-31312409/original/7026d717-9293-4aeb-a452-c7f1d914e969.jpeg,Rch,04/01/2019,SIN INFORMACIO,within an hour,t,"['email', 'phone']",t,t,SIN INFORMACION,Room in hotel,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Luggage dropoff allowed"", ""Wifi"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Long term stays allowed"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Building staff"", ""HDTV with Netflix"", ""Dedicated workspace"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers"", ""Mini fridge""]",SIN INFORMACION,t,26/09/2024,04/02/2024,SIN INFORMACION,t
