,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable
1202,13622872.0,1.0,1.0,23.0,26.0,4.0,1.0,1.0,2.0,918.0,1.0,1125,24,48,84,13.0,1.0,0.0,4.69,4.85,4.92,4.92,4.92,4.92,4.77,0.15,25/09/2024,"Rento habitaciÃ³n  ""Ãxito""",Places of interest: Near corporate and shopping centers. You'll love my place because you'll save yourself the traffic when entering and exiting the area. My place is good for adventurers and business travelers.<br />We have surveillance cameras in the public areas for guest protection,SIN INFORMACION,https://a0.muscache.com/pictures/40dbc609-d1aa-44cf-8e11-008cfbd1f43d.jpg,Jorge,23/11/2015,"Arquitecto empresario  especialista desde hace quince aÃ±os en tÃ©cnicas taoistas  y filosofÃ­as budistas y tÃ¡ntricas,  facilitador en meditaciÃ³n merkaba, geometrÃ­a y arquitectura sagradas de lo cual imparte cursos, terapeuta quÃ¡ntico, maestro de yoga y primer grado iniciÃ¡tico en la gran fraternidad universal, Coach certificado . Tercer Dan en Tae Kwon Do 
Profesor certificado en Zhineng Qi Gong Ming Jue y Terapeuta de Vidas Pasadas
Amigable, espiritual y servicial.",within an hour,f,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in home,Shared room,1 shared bath,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Coffee maker"", ""Paid washer \u2013 In unit"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""TV with standard cable"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Fire extinguisher"", ""Paid dryer \u2013 In unit"", ""Free street parking"", ""Microwave"", ""Cooking basics"", ""Building staff""]",SIN INFORMACION,t,25/09/2024,06/12/2023,SIN INFORMACION,t
1461,15165035.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1511.6,1.0,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,Citta San JerÃ³nimo apartamento,Apartment in citta san JerÃ³nimo great development for business or pleasure just 5 minutes from Santa Fe,SIN INFORMACION,https://a0.muscache.com/pictures/9e12eb4f-64b3-4115-a131-e49a3aee2cd4.jpg,Carlo,21/09/2016,SIN INFORMACIO,SIN INFORMACION,f,['phone'],t,f,SIN INFORMACION,Shared room in rental unit,Shared room,1 shared bath,"[""Free parking on premises"", ""Pool"", ""Kitchen"", ""Gym"", ""Elevator""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
1587,16011942.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.4,250.0,1.0,7,30,60,90,54.0,1.0,0.0,4.52,4.57,4.8,4.79,4.77,4.65,4.63,0.57,25/09/2024,Single bed  in a dormitory,"We are 15 minutes away by car from the Airport and 35 minutes from  ""MexicoÂ´s down town"" by subway",The best area to taste tradicional mexicane cuisine at really affordable prices. Better than attend to restaurants or the uptown with inflated prices and fewer variety.,https://a0.muscache.com/pictures/miso/Hosting-16011942/original/3fa28354-4df8-45b1-b6e3-0a3603977a2b.jpeg,Diego,25/09/2016,Soy una persona tranquila que goza de viajar cuando puedo. Trabajo en un hotel asi que me gusta atender a mis huespdes con lo mejor que me han enseÃ±ado en mi empleo. Espero  poder ofrecerte algo de tu agrado.,within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in guest suite,Shared room,1 shared bath,"[""Extra pillows and blankets"", ""Body soap"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Bed linens"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Dedicated workspace"", ""Smoke alarm"", ""Paid parking off premises""]",SIN INFORMACION,t,25/09/2024,19/11/2023,SIN INFORMACION,f
1597,16032189.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.4,250.0,1.0,7,30,60,90,3.0,0.0,0.0,4.8,4.9,4.8,4.67,4.9,4.9,4.8,0.03,25/09/2024,Cama individual en habitaciÃ³n compartida,"Single bed in a triple room. If you only wanted the room for yourself, ask me for a special offer!","Excellent gastronomic offer in the area , on the hill there are something eocnomic to 9 pesos a tacos to cakes of 80 giant pesos. Pozole, enchiladas, whatever you want",https://a0.muscache.com/pictures/miso/Hosting-16032189/original/ade2466d-0783-414d-8285-fdaf06e16031.jpeg,Diego,25/09/2016,Soy una persona tranquila que goza de viajar cuando puedo. Trabajo en un hotel asi que me gusta atender a mis huespdes con lo mejor que me han enseÃ±ado en mi empleo. Espero  poder ofrecerte algo de tu agrado.,within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in home,Shared room,1 shared bath,"[""Carbon monoxide alarm"", ""Wifi"", ""Free carport on premises \u2013 1 space"", ""Patio or balcony"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Smoke alarm""]",SIN INFORMACION,t,25/09/2024,26/11/2022,SIN INFORMACION,f
1976,17964379.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1511.6,1.0,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,HabitaciÃ³n sencilla dentro de casa,For one person only,SIN INFORMACION,https://a0.muscache.com/pictures/57c71653-36d5-49c8-8da5-7c3f6f0ec3f1.jpg,Humberto,04/01/2017,SIN INFORMACIO,SIN INFORMACION,f,"['email', 'phone']",t,f,SIN INFORMACION,Shared room in home,Shared room,1 shared bath,[],SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
2073,18451165.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1511.6,1.0,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,Excelente cuarto zona sur CDMX,"Excellent apartment with 1 bedroom for accommodation for  2 people in the southern CDMX area with coffee service and excellent kitchen to enjoy a rich comfort or a rich cup of coffee in front of an 80""screen and pleasant ambient music","Museums, easy access, car rental",https://a0.muscache.com/pictures/1327dac0-8d6e-4fb0-aaa4-25ab4f133796.jpg,Israel,21/04/2017,Buen anfitriÃ³n. Cordial y amable  ,SIN INFORMACION,f,"['email', 'phone']",t,f,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in rental unit,Shared room,1 shared bath,"[""Self check-in"", ""Smoking allowed"", ""Pets allowed"", ""Building staff""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
2188,19037182.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2029.0,2.0,1125,23,53,91,16.0,0.0,0.0,4.88,5.0,5.0,5.0,4.94,4.75,4.94,0.19,25/09/2024,HABITACIÃN CON SERVICIOS INCLUIDOS,"Spacious room, a double and single bunk bed. Full bathroom, electricity, water, internet, included. Preferred monthly rent for a single occupant. Towels, microwave oven, espresso coffee maker, sandwich maker are included. American breakfast can be included x $70mxn x person. You have independent access to the room from the street. Close to Tlacotal metrobus stations and Coyuya metro. 20 min (walking) from Foro Sol, Brothers Rodriguez Racetrack, Sports Palace.",SIN INFORMACION,https://a0.muscache.com/pictures/5f71bf47-87fa-4897-b31d-1cc5bf4596d1.jpg,Nelson,25/10/2015,"Ingeniero de servicio tÃ©cnico. 
Viajero frecuente y aventurero ",SIN INFORMACION,f,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in rental unit,Shared room,1 shared bath,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Single level home"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,27/02/2023,SIN INFORMACION,f
2264,19333425.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1511.6,1.6,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,"Casa de estudiantes (UPN, COLMEX y UNAM)","Furnished rooms for students are rented.<br />The rooms have 2 double beds, 2 buros and 2 closets.<br />Great location for living with shops, pharmacies, transportation, etc.<br />Including water, electricity, internet, gas and cleaning services.<br />Bedding and cooking utensils are provided, they can make use of the washer and dryer.","it's a safe space during the day, and we have everything close by, but it's recommended not to be out after 10pm",https://a0.muscache.com/pictures/1bed80e9-849e-42e6-b919-9f2b6d08c8b5.jpg,Roman Ernesto,21/11/2016,Estudiante de maestrÃ­a.  Me gusta andar en bici y los video juegos. Me gusta el ecoturismo.,SIN INFORMACION,f,"['email', 'phone']",t,f,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in home,Shared room,1.5 shared baths,"[""Washer"", ""Wifi"", ""Cleaning available during stay"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Babysitter recommendations"", ""Pocket wifi"", ""Game console"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Microwave"", ""Cooking basics""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
2506,20833518.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1511.6,2.0,6,0,0,0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01,26/09/2024,Excelente habitaciÃ³n en departamento,"apartment with excellent atmosphere, with living/dining room, kitchen, full bathroom, three bedrooms (one already inhabited), good lighting in all spaces, fifty meters from the normal metro station.",SIN INFORMACION,https://a0.muscache.com/pictures/74dda210-c43e-49b2-97ae-88321f4e24c8.jpg,Nathan,06/09/2017,SIN INFORMACIO,SIN INFORMACION,f,"['email', 'phone']",t,f,SIN INFORMACION,Shared room in rental unit,Shared room,1 shared bath,"[""Wifi"", ""Kitchen"", ""Hangers""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,20/11/2017,SIN INFORMACION,f
2591,21314149.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1511.6,1.0,1125,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,Depto cÃ©ntrico CD MX,"Downtown apartment 10 minutes from downtown Mexico City. Accessible room (bus, train station). <br /><br />Services:<br />Internet, <br />Televsion, <br />Breakfast, <br />lunch and <br />dinner.<br /><br />Accessible area.",I live in the downtown area of the city. The place is very  central and safe. There is surveillance (video cameras),https://a0.muscache.com/pictures/cd2eba88-6a8b-401d-9f14-2684e81a933d.jpg,Luis,04/05/2014,"Soy una persona que disfruta viajar, conocer gente, ayudar a los turistas. Puedes revisarmos referencias  mi perfil de couchsurfing  es:

couchsurfing.com/people/luiszamora

Sientete libre de preguntarme cualquier dÃ­a antes de hacer tu reserva",SIN INFORMACION,f,['email'],t,f,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in rental unit,Shared room,1 shared bath,"[""Washer"", ""TV"", ""Wifi"", ""Heating"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Microwave"", ""Smoking allowed""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
2678,21451591.0,1.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,600.0,2.0,1125,24,53,358,8.0,1.0,1.0,4.75,4.88,4.88,5.0,4.88,5.0,4.75,0.1,25/09/2024,Colchoneta dentro de nuestra sala BAÃO COMPARTIDO,"Buenvenido!! â¤ï¸I tell you that our armchair is of standard dimension and you may be higher, please specify it ð¤<br />There is the possibility of a mattress on the floor  (please specify)<br />Access to refrigerator and microwave oven.<br />Ideal for express travelers, only if you want to get to sleep and leave for your concert, this possibility we enable it for backpackers is ðnot comfortable to rest 24 hrs since we make normal house movements that can affect your restð",SIN INFORMACION,https://a0.muscache.com/pictures/97dc17ea-0e1d-4f17-babd-063c14b39c3f.jpg,Shannthall,25/07/2015,Hola soy mexicana llevo 8 aÃ±os hosteando en airbnb me gusta viajar y convivir :) ,within a few hours,f,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in rental unit,Shared room,1 shared bath,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Hangers""]",SIN INFORMACION,t,25/09/2024,21/09/2024,SIN INFORMACION,f
2753,21819110.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1511.6,1.6,10,0,0,0,0.0,0.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,1.7,26/09/2024,DEPARTAMENTO  COMPARTIDO PARA  GENTE  COMO  TU,PLEASANT  COMFORTABLE LOCATION NEAR CINEMAS THEATRES MUSEUMS EL PALACIO DE LAS  BELLAS  ARTES  ZOCALO ZOO ZOO ZOO AREA  BRUSHES PLACE  AS  CENTERS FOR EATING  COFFEE  AND RECORDS,MUSEUM OF ANTHROPOLOGY CHAPULTEPEC PARK THE  PALACE  OF  FINE  ARTS  AND THE PINK ZONE,https://a0.muscache.com/pictures/2a5d0ef0-314f-43e6-aca0-2d86e34084ef.jpg,RamÃ³n,17/11/2017,SIN INFORMACIO,SIN INFORMACION,f,"['email', 'phone']",f,f,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in guest suite,Shared room,1 shared bath,"[""Iron"", ""Washer"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Pets allowed""]",SIN INFORMACION,SIN INFORMACION,26/09/2024,SIN INFORMACION,SIN INFORMACION,f
